# l C_l D_l
2.000000000000000000e+00 6.000000000000000000e+03 5.729577951308232514e+03
3.000000000000000000e+00 5.907645123222249822e+03 1.128277108072260307e+04
4.000000000000000000e+00 5.839776964094179675e+03 1.858858740779541040e+04
5.000000000000000000e+00 5.784787845992138500e+03 2.762032741282700226e+04
6.000000000000000000e+00 5.737561453010103833e+03 3.835277319468317000e+04
7.000000000000000000e+00 5.695391919100074119e+03 5.076118749914311775e+04
8.000000000000000000e+00 5.656676536427014980e+03 6.482073832158969162e+04
9.000000000000000000e+00 5.620389242632813875e+03 8.050614570589736104e+04
1.000000000000000000e+01 5.585834798212356873e+03 9.779145413732380257e+04
1.100000000000000000e+01 5.552521354400891141e+03 1.166498810632593959e+05
1.200000000000000000e+01 5.520088999659607907e+03 1.370537142940714839e+05
1.300000000000000000e+01 5.488267162616717542e+03 1.589742423249674612e+05
1.400000000000000000e+01 5.456847935212299490e+03 1.823817077438664273e+05
1.500000000000000000e+01 5.425668674788624230e+03 2.072452774011510483e+05
1.600000000000000000e+01 5.394600265481823953e+03 2.335330251257090422e+05
1.700000000000000000e+01 5.363538965672258200e+03 2.612119240889358334e+05
1.800000000000000000e+01 5.332400603108459109e+03 2.902478467695729923e+05
1.900000000000000000e+01 5.301116350919947763e+03 3.206055710385884740e+05
2.000000000000000000e+01 5.269629594710148012e+03 3.522487912698136643e+05
2.100000000000000000e+01 5.237893569190739981e+03 3.851401336517920136e+05
2.200000000000000000e+01 5.205869548130159274e+03 4.192411750683021382e+05
2.300000000000000000e+01 5.173525439054203162e+03 4.545124650541038136e+05
2.400000000000000000e+01 5.140834678645538588e+03 4.909135504348036484e+05
2.500000000000000000e+01 5.107775354688925290e+03 5.284030023361059139e+05
2.600000000000000000e+01 5.074329500880779960e+03 5.669384453054288169e+05
2.700000000000000000e+01 5.040482525082212305e+03 6.064765883329751668e+05
2.800000000000000000e+01 5.006222741685978690e+03 6.469732575934079941e+05
2.900000000000000000e+01 4.971540986012438225e+03 6.883834307558164001e+05
3.000000000000000000e+01 4.936430293919966061e+03 7.306612727305245353e+05
3.100000000000000000e+01 4.900885633696531841e+03 7.737601727378120413e+05
3.200000000000000000e+01 4.864903680189705483e+03 8.176327825967610115e+05
3.300000000000000000e+01 4.828482623308226721e+03 8.622310561430311063e+05
3.400000000000000000e+01 4.791622004681700673e+03 9.075062896928575356e+05
3.500000000000000000e+01 4.754322577533383082e+03 9.534091634774768027e+05
3.600000000000000000e+01 4.716586185802023465e+03 9.998897839778017951e+05
3.700000000000000000e+01 4.678415659313811375e+03 1.046897727093760273e+06
3.800000000000000000e+01 4.639814722406444162e+03 1.094382082086476032e+06
3.900000000000000000e+01 4.600787913882852081e+03 1.142291496234572027e+06
4.000000000000000000e+01 4.561340516550889333e+03 1.190574220148437889e+06
4.100000000000000000e+01 4.521478494908795255e+03 1.239178153688410064e+06
4.200000000000000000e+01 4.481208439781050402e+03 1.288050892434591195e+06
4.300000000000000000e+01 4.440537518907666708e+03 1.337139774657480884e+06
4.400000000000000000e+01 4.399473432651737312e+03 1.386391928739825496e+06
4.500000000000000000e+01 4.358024374122640438e+03 1.435754321001124103e+06
4.600000000000000000e+01 4.316198993121373860e+03 1.485173803877067985e+06
4.700000000000000000e+01 4.274006363404811054e+03 1.534597164406957803e+06
4.800000000000000000e+01 4.231455952840608916e+03 1.583971172982731136e+06
4.900000000000000000e+01 4.188557596087097409e+03 1.633242632313801674e+06
5.000000000000000000e+01 4.145321469484819318e+03 1.682358426562344423e+06
5.100000000000000000e+01 4.101758067890466918e+03 1.731265570604092907e+06
5.200000000000000000e+01 4.057878183221166637e+03 1.779911259370069718e+06
5.300000000000000000e+01 4.013692884508482166e+03 1.828242917225001846e+06
5.400000000000000000e+01 3.969213499288311596e+03 1.876208247338477755e+06
5.500000000000000000e+01 3.924451596175621489e+03 1.923755281005185097e+06
5.600000000000000000e+01 3.879418968492494969e+03 1.970832426870855270e+06
5.700000000000000000e+01 3.834127618834667828e+03 2.017388520020792028e+06
5.800000000000000000e+01 3.788589744476115811e+03 2.063372870888131438e+06
5.900000000000000000e+01 3.742817723523709446e+03 2.108735313939266838e+06
6.000000000000000000e+01 3.696824101744623476e+03 2.153426256094120443e+06
6.100000000000000000e+01 3.650621579998505240e+03 2.197396724839222617e+06
6.200000000000000000e+01 3.604223002214582266e+03 2.240598415991899557e+06
6.300000000000000000e+01 3.557641343860800134e+03 2.282983741074112244e+06
6.400000000000000000e+01 3.510889700858329434e+03 2.324505874254839960e+06
6.500000000000000000e+01 3.463981278900175766e+03 2.365118798820270225e+06
6.600000000000000000e+01 3.416929383137268815e+03 2.404777353131332435e+06
6.700000000000000000e+01 3.369747408199669735e+03 2.443437276028581895e+06
6.800000000000000000e+01 3.322448828524109103e+03 2.481055251644762233e+06
6.900000000000000000e+01 3.275047188962327255e+03 2.517588953585817944e+06
7.000000000000000000e+01 3.227556095647573784e+03 2.552997088441587053e+06
7.100000000000000000e+01 3.179989207099084524e+03 2.587239438587814569e+06
7.200000000000000000e+01 3.132360225546644415e+03 2.620276904241652694e+06
7.300000000000000000e+01 3.084682888459356036e+03 2.652071544733316172e+06
7.400000000000000000e+01 3.036970960264428413e+03 2.682586618957062252e+06
7.500000000000000000e+01 2.989238224243464629e+03 2.711786624965245370e+06
7.600000000000000000e+01 2.941498474595084190e+03 2.739637338669762015e+06
7.700000000000000000e+01 2.893765508654019868e+03 2.766105851615827065e+06
7.800000000000000000e+01 2.846053119257905109e+03 2.791160607793603092e+06
7.900000000000000000e+01 2.798375087254028131e+03 2.814771439453896601e+06
8.000000000000000000e+01 2.750745174139204664e+03 2.836909601894791704e+06
8.100000000000000000e+01 2.703177114826753495e+03 2.857547807186792139e+06
8.200000000000000000e+01 2.655684610535285174e+03 2.876660256804764736e+06
8.300000000000000000e+01 2.608281321794668202e+03 2.894222673135727178e+06
8.400000000000000000e+01 2.560980861565135456e+03 2.910212329832281917e+06
8.500000000000000000e+01 2.513796788466031103e+03 2.924608080982302316e+06
8.600000000000000000e+01 2.466742600111176216e+03 2.937390389066286851e+06
8.700000000000000000e+01 2.419831726548256029e+03 2.948541351674626116e+06
8.800000000000000000e+01 2.373077523800049676e+03 2.958044726957909763e+06
8.900000000000000000e+01 2.326493267505654785e+03 2.965885957784256898e+06
9.000000000000000000e+01 2.280092146660169419e+03 2.972052194578549825e+06
9.100000000000000000e+01 2.233887257451624919e+03 2.976532316819421947e+06
9.200000000000000000e+01 2.187891597194184214e+03 2.979316953170739580e+06
9.300000000000000000e+01 2.142118058356858000e+03 2.980398500225295778e+06
9.400000000000000000e+01 2.096579422687234910e+03 2.979771139839450829e+06
9.500000000000000000e+01 2.051288355429853254e+03 2.977430855038373731e+06
9.600000000000000000e+01 2.006257399639087680e+03 2.973375444472658914e+06
9.700000000000000000e+01 1.961498970586522773e+03 2.967604535408069845e+06
9.800000000000000000e+01 1.917025350262929805e+03 2.960119595231181942e+06
9.900000000000000000e+01 1.872848681975113095e+03 2.950923941454855260e+06
1.000000000000000000e+02 1.828980965037984561e+03 2.940022750208480749e+06
1.010000000000000000e+02 1.785434049562316659e+03 2.927423063199059106e+06
1.020000000000000000e+02 1.742219631338731688e+03 2.913133793130312581e+06
1.030000000000000000e+02 1.699349246818540450e+03 2.897165727568109985e+06
1.040000000000000000e+02 1.656834268192116951e+03 2.879531531241657212e+06
1.050000000000000000e+02 1.614685898565580601e+03 2.860245746771073435e+06
1.060000000000000000e+02 1.572915167236551042e+03 2.839324793813065160e+06
1.070000000000000000e+02 1.531532925069850307e+03 2.816786966617684346e+06
1.080000000000000000e+02 1.490549839974004954e+03 2.792652429990231059e+06
1.090000000000000000e+02 1.449976392479479273e+03 2.766943213653661776e+06
1.100000000000000000e+02 1.409822871419551348e+03 2.739683205007964745e+06
1.110000000000000000e+02 1.370099369714802151e+03 2.710898140284243040e+06
1.120000000000000000e+02 1.330815780262170620e+03 2.680615594092429150e+06
1.130000000000000000e+02 1.291981791929556493e+03 2.648864967362778727e+06
1.140000000000000000e+02 1.253606885656942040e+03 2.615677473682501353e+06
1.150000000000000000e+02 1.215700330665026513e+03 2.581086124030167237e+06
1.160000000000000000e+02 1.178271180772325124e+03 2.545125709911666345e+06
1.170000000000000000e+02 1.141328270821732758e+03 2.507832784902848769e+06
1.180000000000000000e+02 1.104880213217483060e+03 2.469245644605091307e+06
1.190000000000000000e+02 1.068935394573470830e+03 2.429404305021379143e+06
1.200000000000000000e+02 1.033501972473850628e+03 2.388350479361629114e+06
1.210000000000000000e+02 9.985878723468375711e+02 2.346127553287309594e+06
1.220000000000000000e+02 9.642007844525862765e+02 2.302780558606555220e+06
1.230000000000000000e+02 9.303481609860269828e+02 2.258356145432289224e+06
1.240000000000000000e+02 8.970372132954870494e+02 2.212902552817012183e+06
1.250000000000000000e+02 8.642749092179188892e+02 2.166469577879211865e+06
1.260000000000000000e+02 8.320679705315093315e+02 2.119108543437496293e+06
1.270000000000000000e+02 8.004228705264245036e+02 2.070872264169823378e+06
1.280000000000000000e+02 7.693458316944071385e+02 2.021815011316354852e+06
1.290000000000000000e+02 7.388428235379055877e+02 1.971992475945693906e+06
1.300000000000000000e+02 7.089195604993759616e+02 1.921461730805404251e+06
1.310000000000000000e+02 6.795815000113692577e+02 1.870281190778943244e+06
1.320000000000000000e+02 6.508338406679732770e+02 1.818510571972273989e+06
1.330000000000000000e+02 6.226815205181209194e+02 1.766210849454541691e+06
1.340000000000000000e+02 5.951292154812655326e+02 1.713444213678414468e+06
1.350000000000000000e+02 5.681813378858571468e+02 1.660274025606766343e+06
1.360000000000000000e+02 5.418420351310152228e+02 1.606764770573481219e+06
1.370000000000000000e+02 5.161151884717542089e+02 1.552982010907304706e+06
1.380000000000000000e+02 4.910044119280719883e+02 1.498992337348722154e+06
1.390000000000000000e+02 4.665130513181475749e+02 1.444863319290874759e+06
1.400000000000000000e+02 4.426441834158791266e+02 1.390663453876661370e+06
1.410000000000000000e+02 4.194006152329160386e+02 1.336462113985115197e+06
1.420000000000000000e+02 3.967848834253019277e+02 1.282329495141196297e+06
1.430000000000000000e+02 3.747992538248017240e+02 1.228336561384138884e+06
1.440000000000000000e+02 3.534457210949235559e+02 1.174554990130433580e+06
1.450000000000000000e+02 3.327260085116080859e+02 1.121057116068503819e+06
1.460000000000000000e+02 3.126415678684983277e+02 1.067915874123037094e+06
1.470000000000000000e+02 2.931935795066623882e+02 1.015204741527867620e+06
1.480000000000000000e+02 2.743829524685696697e+02 9.629976790471185232e+05
1.490000000000000000e+02 2.562103247761036755e+02 9.113690713852836052e+05
1.500000000000000000e+02 2.386760638323061414e+02 8.603936668276302516e+05
1.510000000000000000e+02 2.217802669465203849e+02 8.101465161532032071e+05
1.520000000000000000e+02 2.055227619825393788e+02 7.607029108634443255e+05
1.530000000000000000e+02 1.899031081293136083e+02 7.121383207702037180e+05
1.540000000000000000e+02 1.749205967937219555e+02 6.645283309876448475e+05
1.550000000000000000e+02 1.605742526148577838e+02 6.179485783732410055e+05
1.560000000000000000e+02 1.468628345992260336e+02 5.724746874637156725e+05
1.570000000000000000e+02 1.337848373762023471e+02 5.281822059524403885e+05
1.580000000000000000e+02 1.213384925730427000e+02 4.851465397553733783e+05
1.590000000000000000e+02 1.095217703086922683e+02 4.434428877132423804e+05
1.600000000000000000e+02 9.833238080558014360e+01 4.031461759781813016e+05
1.610000000000000000e+02 8.776777611854032557e+01 3.643309921335637337e+05
1.620000000000000000e+02 7.782515197994705147e+01 3.270715190962526249e+05
1.630000000000000000e+02 6.850144976010153641e+01 2.914414688509354019e+05
1.640000000000000000e+02 5.979335854185416821e+01 2.575140160666166630e+05
1.650000000000000000e+02 5.169731730840060635e+01 2.253617316457447887e+05
1.660000000000000000e+02 4.420951724313545128e+01 1.950565162567743973e+05
1.670000000000000000e+02 3.732590414039885474e+01 1.666695339012860204e+05
1.680000000000000000e+02 3.104218092590423339e+01 1.402711455670715659e+05
1.690000000000000000e+02 2.535381028558345307e+01 1.159308430188231287e+05
1.700000000000000000e+02 2.025601740153954466e+01 9.371718277828030114e+04
1.710000000000000000e+02 1.574379279374816853e+01 7.369772034585737856e+04
1.720000000000000000e+02 1.181189526610226892e+01 5.593894471591036563e+04
1.730000000000000000e+02 8.454854955347805401e+00 4.050621323790367751e+04
1.740000000000000000e+02 5.666976481411461819e+00 2.746368687579547986e+04
1.750000000000000000e+02 3.442342197576758522e+00 1.687426591799129528e+04
1.760000000000000000e+02 1.774815538919899627e+00 8.799526190204156592e+03
1.770000000000000000e+02 6.580444673717211757e-01 3.299655823507749119e+03
1.780000000000000000e+02 8.546501172977977179e-02 4.333926297896487654e+02
1.790000000000000000e+02 5.030490090136811865e-02 2.579621366872657973e+02
1.800000000000000000e+02 5.455872886159159885e-01 2.829016333927852884e+03
1.810000000000000000e+02 1.564134567804542186e+00 8.200573182799575079e+03
1.820000000000000000e+02 3.098572272803823413e+00 1.642495694024490149e+04
1.830000000000000000e+02 5.141333067501179244e+00 2.755273934879533772e+04
1.840000000000000000e+02 7.684660817500756025e+00 4.163268174325852306e+04
1.850000000000000000e+02 1.072061474434999440e+01 5.871167812471769139e+04
1.860000000000000000e+02 1.424107365983173068e+01 7.883469925202854211e+04
1.870000000000000000e+02 1.823774027828785549e+01 1.020447378005625360e+05
1.880000000000000000e+02 2.270214560490798306e+01 1.283827546375013626e+05
1.890000000000000000e+02 2.762565339788067931e+01 1.578876262624830415e+05
1.900000000000000000e+02 3.299946470227172313e+01 1.905960934618687315e+05
1.910000000000000000e+02 3.881462245346213535e+01 2.265427112243340234e+05
1.920000000000000000e+02 4.506201614794631638e+01 2.657597999648766126e+05
1.930000000000000000e+02 5.173238657926122386e+01 3.082773981036966434e+05
1.940000000000000000e+02 5.881633063678641804e+01 3.541232160457168357e+05
1.950000000000000000e+02 6.630430616513146447e+01 4.033225916058269795e+05
1.960000000000000000e+02 7.418663688179054816e+01 4.558984469241316547e+05
1.970000000000000000e+02 8.245351735072863164e+01 5.118712469147610827e+05
1.980000000000000000e+02 9.109501800953097472e+01 5.712589592909406638e+05
1.990000000000000000e+02 1.001010902477265887e+02 6.340770162081815070e+05
2.000000000000000000e+02 1.094615715338725721e+02 7.003382775665613590e+05
2.010000000000000000e+02 1.191661905889669271e+02 7.700529960121617187e+05
2.020000000000000000e+02 1.292045726037300142e+02 8.432287836767314002e+05
2.030000000000000000e+02 1.395662444972872436e+02 9.198705806937396992e+05
2.040000000000000000e+02 1.502406402147495896e+02 9.999806255278482568e+05
2.050000000000000000e+02 1.612171060611952100e+02 1.083558427153942641e+06
2.060000000000000000e+02 1.724849060695115099e+02 1.170600739120598650e+06
2.070000000000000000e+02 1.840332273995669254e+02 1.261101535531916656e+06
2.080000000000000000e+02 1.958511857661539182e+02 1.355051988980419002e+06
2.090000000000000000e+02 2.079278308931340860e+02 1.452440450462559704e+06
2.100000000000000000e+02 2.202521519912107522e+02 1.553252431307228515e+06
2.110000000000000000e+02 2.328130832567359221e+02 1.657470587146356702e+06
